魂断威尼斯 Morte a Venezia,,卢基诺·维斯康蒂,,卢基诺·维斯康蒂,,德克·博加德,,罗慕洛·瓦利,,马克·伯恩斯,"['剧情', '同性']",130分钟,1971,意大利 / 法国 / 美国, 英语 / 意大利语 / 波兰语 / 法语 / 俄语 / 德语,8.2
早餐俱乐部 The Breakfast Club,,约翰·休斯,,约翰·休斯,,艾米利奥·艾斯特维兹,,安东尼·迈克尔·豪尔,,约翰·卡普洛斯,"['剧情', '喜剧']",97 分钟,1985,美国, 英语,8.2
GO!大暴走 GO,,行定勋,,宫藤官九郎,,洼冢洋介,,柴崎幸,,细山田隆人,['剧情'],122 分钟,2001,日本, 日语 / 韩语,8.2
虎！虎！虎！ Tora! Tora! Tora!,,理查德·弗莱彻,,拉里·福里斯特,,马丁·鲍尔萨姆,,山村聪,,约瑟夫·科顿,"['剧情', '历史', '战争']",144 分钟,1970,美国 / 日本, 英语 / 日语,8.2
红色小提琴 Le violon rouge,,佛朗索瓦·吉拉德,,Don McKellar,,卡洛·切基,,让-吕克·比多,,张艾嘉,"['剧情', '爱情', '悬疑', '音乐']",130 分钟,1998,加拿大 / 意大利 / 英国, 法语 / 英语 / 汉语普通话 / 意大利语 / 德语,8.2
小妇人 Little Women,,吉莉安·阿姆斯特朗,,Robin Swicord,,薇诺娜·瑞德,,加布里埃尔·伯恩,,翠尼·阿瓦拉多,"['剧情', '爱情', '家庭']",115 分钟,1994,美国 / 加拿大, 英语 / 德语,8.2
小小的白色谎言 Les petits mouchoirs,,吉约姆·卡内,,吉约姆·卡内,,玛丽昂·歌迪亚,,伯努瓦·马吉梅尔,,弗朗索瓦·克鲁塞,"['剧情', '喜剧']",154分钟,2010,法国, 法语,8.2
爱你长久 Il y a longtemps que je t'aime,,菲利浦·克洛代尔,,菲利浦·克洛代尔,,克里斯汀·斯科特·托马斯,,艾尔莎·泽贝斯坦,,塞尔奇·哈赛纳维奇,"['剧情', '悬疑']",117 分钟,2008,法国 / 德国, 法语,8.2
大而不倒 Too Big to Fail,,柯蒂斯·汉森,,皮特·古尔德,,詹姆斯·伍兹,,约翰·赫德,,威廉·赫特,"['剧情', '传记', '历史']",98分钟,2011,美国, 英语,8.2
无人引航 Rudderless,,威廉姆·H·梅西,,威廉姆·H·梅西,,比利·克鲁德普,,安东·叶利钦,,菲丽西提·霍夫曼,"['剧情', '音乐']",105分钟,2014,美国, 英语,8.2
魂断威尼斯 Morte a Venezia,,卢基诺·维斯康蒂,,卢基诺·维斯康蒂,,德克·博加德,,罗慕洛·瓦利,,马克·伯恩斯,"['剧情', '同性']",130分钟,1971,意大利 / 法国 / 美国, 英语 / 意大利语 / 波兰语 / 法语 / 俄语 / 德语,8.2
早餐俱乐部 The Breakfast Club,,约翰·休斯,,约翰·休斯,,艾米利奥·艾斯特维兹,,安东尼·迈克尔·豪尔,,约翰·卡普洛斯,"['剧情', '喜剧']",97 分钟,1985,美国, 英语,8.2
GO!大暴走 GO,,行定勋,,宫藤官九郎,,洼冢洋介,,柴崎幸,,细山田隆人,['剧情'],122 分钟,2001,日本, 日语 / 韩语,8.2
